Package,LibPath,Version,Priority,Built
leaflet,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.1.0,NA,3.3.2
lme4,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.1-15,NA,3.3.2
ltsa,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.4.6,NA,3.3.0
lubridate,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.7.1,NA,3.3.2
lunar,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.1-04,NA,3.3.0
magrittr,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.5,NA,3.3.0
mapdata,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,2.2-6,NA,3.3.0
mapproj,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.2-5,NA,3.3.2
maps,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,3.2.0,NA,3.3.2
maptools,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.9-2,NA,3.3.2
markdown,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.8,NA,3.3.2
MASS,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,7.3-48,recommended,3.3.2
Matrix,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.2-12,recommended,3.3.2
MatrixModels,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.4-1,NA,3.3.0
mcmc,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.9-5,NA,3.3.2
MCMCpack,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.4-2,NA,3.3.2
memoise,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.1.0,NA,3.3.2
methods,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,3.3.2,base,3.3.2
mgcv,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.8-23,recommended,3.3.2
mime,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.5,NA,3.3.0
minqa,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.2.4,NA,3.3.0
misc3d,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.8-4,NA,3.3.0
mixtools,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.1.0,NA,3.3.2
mnormt,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.5-5,NA,3.3.0
modelr,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.1.1,NA,3.3.2
multcomp,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.4-8,NA,3.3.2
munsell,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.4.3,NA,3.3.0
mvtnorm,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.0-6,NA,3.3.2
ncdf4,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.16,NA,3.3.2
nlme,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,3.1-131,recommended,3.3.2
nloptr,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.0.4,NA,3.3.0
NMF,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.20.6,NA,3.3.0
nnet,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,7.3-12,recommended,3.3.2
numDeriv,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,2016.8-1,NA,3.3.0
openssl,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.9.9,NA,3.3.2
orthopolynom,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.0-5,NA,3.3.0
parallel,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,3.3.2,base,3.3.2
PBSmapping,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,2.70.4,NA,3.3.2
pillar,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.1.0,NA,3.3.2
pixmap,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.4-11,NA,3.3.0
pkgconfig,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,2.0.1,NA,3.3.2
pkgmaker,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.22,NA,3.3.0
plogr,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.1-1,NA,3.3.0
plot3D,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.1.1,NA,3.3.2
plotdap,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.0.1,NA,3.3.2
plotly,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,4.7.1,NA,3.3.2
